"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Expectations"

"DESCRIPTION"
"Expectations"

"LINK"
"https://www.bankofcanada.ca/?p=39806"

"SERIES"
"id","label","description"
"INDINF_FOURORMORE_Q","INDINF_FOURORMORE_Q","Percentage of firms expecting price increases over the next six months of: more than 3%"
"INDINF_ONEORLESS_Q","INDINF_ONEORLESS_Q","Percentage of firms expecting price increases over the next six months of: 1% or less"
"INDINF_THREEORLESS_Q","INDINF_THREEORLESS_Q","Percentage of firms expecting price increases over the next six months of: 3% or less"
"INDINF_TWOORLESS_Q","INDINF_TWOORLESS_Q","Percentage of firms expecting price increases over the next six months of: 2% or less"
"INDINF_ROS1TO2_Q","INDINF_ROS1TO2_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: 1-2%"
"INDINF_ROS2TO3_Q","INDINF_ROS2TO3_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: 2-3%"
"INDINF_ROSBELOW1_Q","INDINF_ROSBELOW1_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: Less than 1%"
"INDINF_ROSOVER3_Q","INDINF_ROSOVER3_Q","Bank of Canada Regional Office Survey - Percentage of firms expecting CPI inflation over the next two years to be: more than 3%"
"INDINF_EXPECTSIXTEN_Q","INDINF_EXPECTSIXTEN_Q","CPI inflation: Consensus Forecasts - 6-10 years"
"INDINF_EXPECTTWOTHREE_Q","INDINF_EXPECTTWOTHREE_Q","CPI inflation: Consensus Forecasts - 2-3 years"
"INDINF_INFEXP_BOND_Q","INDINF_INFEXP_BOND_Q","Expectations implicit in real/nominal bond spread"

"OBSERVATIONS"
"date","INDINF_FOURORMORE_Q","INDINF_ONEORLESS_Q","INDINF_THREEORLESS_Q","INDINF_TWOORLESS_Q","INDINF_ROS1TO2_Q","INDINF_ROS2TO3_Q","INDINF_ROSBELOW1_Q","INDINF_ROSOVER3_Q","INDINF_EXPECTSIXTEN_Q","INDINF_EXPECTTWOTHREE_Q","INDINF_INFEXP_BOND_Q"
"1991Q4","","","","","","","","","","","4.6"
"1992Q1","","","","","","","","","","","4.5"
"1992Q2","","","","","","","","","","","4.4"
"1992Q3","","","","","","","","","","","3.5"
"1992Q4","","","","","","","","","","","3.7"
"1993Q1","2","24","98","79","","","","","2.7","2.5","3.6"
"1993Q2","2","23","98","85","","","","","2.7","2.5","3.7"
"1993Q3","1","29","99","87","","","","","2.4","2.2","3.4"
"1993Q4","0","23","100","91","","","","","2.4","2.2","3.4"
"1994Q1","3","38","97","84","","","","","2.3","2.3","3.8"
"1994Q2","3","34","97","84","","","","","2.3","2.3","4.3"
"1994Q3","1","40","99","83","","","","","2.5","2.2","4.4"
"1994Q4","5","25","95","74","","","","","2.5","2.2","4.4"
"1995Q1","8","18","92","75","","","","","2.2","2.3","4.1"
"1995Q2","2","16","98","68","","","","","2.2","2.3","3.8"
"1995Q3","1","21","99","72","","","","","2.1","2.1","3.7"
"1995Q4","2","27","98","83","","","","","2.1","2.1","3.2"
"1996Q1","1","37","99","93","","","","","2.0","1.9","3.1"
"1996Q2","3","37","97","91","","","","","2.0","1.9","3.2"
"1996Q3","0","41","100","97","","","","","1.4","1.9","3.2"
"1996Q4","5","30","95","87","","","","","1.4","1.9","2.9"
"1997Q1","1","11","99","78","","","","","1.7","1.9","3.0"
"1997Q2","2","18","98","80","","","","","1.7","1.9","2.8"
"1997Q3","1","21","99","84","","","","","1.9","2.3","2.4"
"1997Q4","4","25","97","78","","","","","1.9","2.3","2.0"
"1998Q1","2","37","98","86","","","","","1.9","1.9","1.7"
"1998Q2","2","41","99","89","","","","","1.9","1.9","1.7"
"1998Q3","5","46","95","82","","","","","1.9","1.8","1.5"
"1998Q4","3","51","97","84","","","","","1.9","1.8","1.2"
"1999Q1","2","55","98","92","","","","","2.0","1.9","1.2"
"1999Q2","1","34","99","91","","","","","2.0","1.9","1.4"
"1999Q3","3","30","98","85","","","","","1.8","1.9","1.7"
"1999Q4","6","18","94","75","","","","","1.8","1.9","2.1"
"2000Q1","8","8","92","53","","","","","1.9","1.8","2.1"
"2000Q2","8","13","92","57","","","","","1.9","1.8","2.0"
"2000Q3","7","7","92","49","","","","","2.1","2.0","1.9"
"2000Q4","8","9","92","52","","","","","2.1","2.0","2.1"
"2001Q1","3","20","97","66","","","","","2.0","2.1","2.3"
"2001Q2","7","5","93","55","25","62","0","8","2.0","2.1","2.3"
"2001Q3","4","24","96","72","34","55","1","2","2.1","2.1","2.2"
"2001Q4","1","56","97","94","59","31","5","2","2.1","2.1","1.9"
"2002Q1","1","30","99","87","62","33","2","2","2.0","2.0","2.0"
"2002Q2","2","19","98","75","28","60","2","4","2.0","2.0","2.3"
"2002Q3","4","21","96","75","32","61","1","5","2.0","2.1","2.2"
"2002Q4","3","14","97","68","27","63","0","9","2.0","2.1","2.1"
"2003Q1","12","7","87","46","15","57","1","26","2.1","2.0","2.3"
"2003Q2","2","25","98","79","39","55","0","5","2.1","2.0","2.2"
"2003Q3","1","22","99","81","43","52","0","4","2.0","1.9","2.2"
"2003Q4","2","30","98","84","40","54","1","3","2.0","1.9","2.3"
"2004Q1","2","29","98","88","45","47","0","5","2.0","2.0","2.5"
"2004Q2","4","12","95","66","21","55","0","17","2.0","2.0","2.9"
"2004Q3","6","13","94","72","33","54","0","9","2.0","1.9","2.9"
"2004Q4","4","14","96","74","29","56","0","12","2.0","1.9","2.7"
"2005Q1","7","22","92","57","33","60","0","4","2.0","1.9","2.7"
"2005Q2","5","10","93","65","18","68","1","7","2.0","1.9","2.6"
"2005Q3","16","7","84","37","10","60","0","27","2.0","2.0","2.4"
"2005Q4","12","8","88","49","14","61","0","19","2.0","2.0","2.6"
"2006Q1","4","9","95","52","15","63","2","18","2.0","2.0","2.7"
"2006Q2","6","13","93","58","15","61","0","22","2.0","2.0","2.7"
"2006Q3","5","13","95","63","15","63","0","20","2.0","2.0","2.6"
"2006Q4","11","23","89","68","26","60","1","11","2.0","2.0","2.4"
"2007Q1","13","12","87","55","28","60","1","10","2.0","2.1","2.4"
"2007Q2","9","11","91","62","14","69","1","14","2.0","2.1","2.4"
"2007Q3","3","18","97","63","16","68","0","12","2.0","2.0","2.3"
"2007Q4","8","17","92","71","30","56","0","12","2.0","2.0","2.2"
"2008Q1","6","22","94","69","28","52","0","17","2.0","2.1","2.2"
"2008Q2","16","6","84","40","13","50","0","36","2.0","2.1","2.4"
"2008Q3","14","24","86","61","18","48","1","32","2.0","2.1","2.4"
"2008Q4","4","67","96","89","43","22","30","3","2.0","2.1","1.6"
"2009Q1","2","72","99","92","37","15","41","4","2.1","2.1","1.5"
