"Description","Timeseries File ID","Unit of Measure","Table Name"
"Gross domestic product at market prices","YGDPK","Millions $ 2012",""
"Implicit Price Deflator - GDP at Market Prices","PGDP","2012=1.0",""
"U.S. Gross Domestic Product at Market Prices","USGDPK","Billions U.S. $ 2009",""
"Consumer Price Index","PCPI","2002=1.0",""
"Total Employment","E","Thousands ('000s)",""
"Unemployment Rate","UR","",""
"Private Non-Farm Average Hourly Earnings","WRHIC","",""
"Real Personal Disposable Income","YHDIK","Millions $ 2012",""
"Private Non-Farm Productivity","PRPNF","Thousands $ 2002",""
"Federal Government Balance","GBALF","Millions $ 2012",""
"Corporation profits before taxes (gross domestic product basis)","BPROF","Millions $",""
"Housing Starts","IHS","Thousands ('000s)",""
"Prime Rate","RPRIME","",""
"Canada - 3 Month Treasury Bill","RTB90","",""
"United States - 3 Month Treasury Bill","USRTB90","",""
"Exchange Rate","PFX","U.S./Canada",""
"Exchange Rate","PFXI","Canada/U.S.",""
"United States Federal Funds Rate","USRFUND","",""
"Merchandise Terms of Trade","MTOT","",""
"Current Account Balance","BPCA","Millions $",""
"Final consumption expenditure","YCK","Millions, Chained $ 2012",""
"Household final consumption expenditure","CHK","Millions, Chained $ 2012",""
"Non-profit institutions serving households' final consumption expenditure","CNK","Millions, Chained $ 2012",""
"General governments final consumption expenditure","CGK","Millions, Chained $ 2012",""
"Gross fixed capital formation","IK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, Business","IBK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, Business, Residential structures","IBRK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, Business, Non-residential structures, machinery and equipment","IBNK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, Business, Non-residential structures","IBNSK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, Business, Machinery and equipment","IBNMK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, Intellectual property products","IBIK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, Non-profit institutions serving households","INK","Millions, Chained $ 2012",""
"Gross fixed Capital Formation, General governments","IGK","Millions, Chained $ 2012",""
"Final domestic demand","YFDDK","Millions, Chained $ 2012",""
"Investment in inventories","NK","Millions, Chained $ 2012",""
"Exports of goods and services","XK","Millions, Chained $ 2012",""
"Less: imports of goods and services","MK","Millions, Chained $ 2012",""
"Real Net Exports","XNETK","Millions, Chained $ 2012",""
"Statistical discrepancy","SK","Millions, Chained $ 2012",""
"Gross domestic product at market prices","YGDPK","Millions, Chained $ 2012",""
"Final consumption expenditure","YC","Millions $",""
"Household final consumption expenditure","CH","Millions $",""
"Non-profit institutions serving households' final consumption expenditure","CN","Millions $",""
"General governments final consumption expenditure","CG","Millions $",""
"Gross fixed capital formation","I","Millions $",""
"Gross fixed Capital Formation, Business","IB","Millions $",""
"Gross fixed Capital Formation, Business, Residential structures","IBR","Millions $",""
"Gross fixed Capital Formation, Business, Non-residential structures, machinery and equipment","IBN","Millions $",""
"Gross fixed Capital Formation, Business, Non-residential structures","IBNS","Millions $",""
"Gross fixed Capital Formation, Business, Machinery and equipment","IBNM","Millions $",""
"Gross fixed Capital Formation, Intellectual property products","IBI","Millions $",""
"Gross fixed Capital Formation, Non-profit institutions serving households","IN","Millions $",""
"Gross fixed Capital Formation, General governments","IG","Millions $",""
"Final domestic demand","YFDD","Millions $",""
"Investment in inventories","N","Millions $",""
"Exports of goods and services","X","Millions $",""
"Less: imports of goods and services","M","Millions $",""
"Net Exports","XNET","Millions $",""
"Statistical discrepancy","S","Millions $",""
"Gross domestic product at market prices","YGDP","Millions $",""
"Final consumption expenditure","PYC","2012=1.0",""
"Household final consumption expenditure","PCH","2012=1.0",""
"Non-profit institutions serving households' final consumption expenditure","PCN","2012=1.0",""
"General governments final consumption expenditure","PCG","2012=1.0",""
"Gross fixed capital formation","PI","2012=1.0",""
"Gross fixed Capital Formation, Business","PIB","2012=1.0",""
"Residential structures","PIBR","2012=1.0",""
"Gross fixed Capital Formation, Business, Non-residential structures, machinery and equipment","PIBN","2012=1.0",""
"Gross fixed Capital Formation, Business, Non-residential structures","PIBNS","2012=1.0",""
"Gross fixed Capital Formation, Business, Machinery and equipment","PIBNM","2012=1.0",""
"Gross fixed Capital Formation, Intellectual property products","PIBI","2012=1.0",""
"Gross fixed Capital Formation, Non-profit institutions serving households","PIN","2012=1.0",""
"Gross fixed Capital Formation, General governments","PIG","2012=1.0",""
"Final domestic demand","PFDD","2012=1.0",""
"Investment in inventories","PN","2012=1.0",""
"Exports of goods and services","PX","2012=1.0",""
"Less: imports of goods and services","PM","2012=1.0",""
"Statistical discrepancy","PS","2012=1.0",""
"Gross domestic product at market prices","PGDP","2012=1.0",""
"Compensation of employees","YCMP","Millions $",""
"Wages and salaries","WWTO","Millions $",""
"Employers' social contributions","WSLY","Millions $",""
"Gross operating surplus","YGOS","Millions $",""
"Net operating surplus: corporations","YNOSB","Millions $",""
"Consumption of fixed capital: corporations","YCFCB","Millions $",""
"Consumption of fixed capital: general governments and non-profit institutions serving households","YCFCG","Millions $",""
"Gross mixed income","YGMI","Millions $",""
"Net mixed income","YNMIU","Millions $",""
"Consumption of fixed capital: unincorporated businesses","YCFCU","Millions $",""
"Taxes less subsidies on production","YTSP","Millions $",""
"Taxes less subsidies, on products and imports","YTSI","Millions $",""
"Statistical discrepancy","YSTD","Millions $",""
"Gross domestic product at market prices","YGDPMP","Millions $",""
"Primary household income","YHPI","Millions $",""
"Primary household income, Compensation of employees","YHCMP","Millions $",""
"Primary household income, Net mixed income","YHNMI","Millions $",""
"Primary household income, Net mixed income, Non farm income ","YHNMIN","Millions $",""
"Current accounts - Households: Farm Income; Canada","YHNMIF","Millions $",""
"Primary household income, Net mixed income, Rental income of households","YHNMIR","Millions $",""
"Primary household income, Net property income of households","YHPRY","Millions $",""
"Transfers received by households","YHTR","Millions $",""
"Transfers received by households, From non-profit institutions serving households","YHTRN","Millions $",""
"Transfers received by households, From corporations ","YHTRB","Millions $",""
"Transfers received by households, From governments","YHTRG","Millions $",""
"Transfers received by households, From governments, Employment insurance benefits","YHTRGE","Millions $",""
"Transfers received by households, From governments, Social security benefits","YHTRGS","Millions $",""
"Transfers received by households, From governments, Other benefits ","YHTRGO","Millions $",""
"Transfers received by households, From non-residents ","YHTRR","Millions $",""
"Transfers paid by households","YHTP","Millions $",""
"Transfers paid by households, To non-profit institutions serving households","YHTPN","Millions $",""
"Transfers paid by households, To corporations","YHTPB","Millions $",""
"Transfers paid by households, To general governments","YHTPG","Millions $",""
"Transfers paid by households, To general governments, Personal income tax ","YHTPGX","Millions $",""
"Transfers paid by households, To general governments, Other transfers to government","YHTPGO","Millions $",""
"Transfers paid by households, To non-residents ","YHTPR","Millions $",""
"Household disposable income","YHDI","Millions $",""
"Household net savings","YHNS","Millions $",""
"Household savings rate","YHPSR","Millions $",""
"Household total debt","KHL","Millions $",""
"Household mortgage debt","KHLMOR","Millions $",""
"Household non-mortgage debt","KHLNMOR","Millions $",""
"Household total interest payments on debt","HIP","Millions $",""
"Household interest payments on mortgage debt","HIPM","Millions $",""
"Household interest payments on non-mortgage debt","HIPNM","Millions $",""
"Primary non-profit institutions income","YNPI","Millions $",""
"Primary non-profit institutions income, Net property income of non-profits","YNPRY","Millions $",""
