"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","A","1961",2.28758169934647,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1962",-0.319488817891435,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1963",0.641025641025662,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1964",2.8662420382165,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1965",3.405572755418,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1966",3.29341317365272,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1967",3.47826086956517,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1968",2.52100840336137,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1969",3.27868852459017,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1970",3.43915343915344,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1971",6.13810741688003,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1972",6.02409638554168,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1973",9.09090909090937,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1974",15.4166666666664,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1975",15.1624548736465,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1976",13.3228840125389,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1977",12.3098201936378,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1978",8.00492610837441,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1979",9.12200684150524,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1980",10.1358411703238,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1981",9.48766603415557,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1982",11.3518197573657,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1983",10.0389105058367,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1984",3.96039603960394,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1985",6.73469387755103,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1986",9.09043499221446,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1987",8.48757548130944,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1988",7.21205597416576,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1989",7.58032128514057,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1990",7.23285114325711,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1991",3.30722367275888,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1992",0.968828980623451,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1993",1.75219023779724,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1994",1.92701927019272,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1995",4.62590506838295,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1996",2.65282583621684,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1997",0.224719101123592,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1998",0.859491778774279,
"AUS","CPIFORECAST","TOT","AGRWTH","A","1999",1.40792886254169,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2000",4.45743514797221,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2001",4.40713536201469,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2002",3.04857621440539,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2003",2.73081924577374,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2004",2.34177215189872,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2005",2.65924551638834,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2006",3.5542168674699,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2007",2.35602094240838,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2008",4.34782608695653,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2009",1.77015250544665,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2010",2.86325929890283,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2011",3.35587929240375,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2012",1.68638308582934,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2013",2.45049504950494,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2014",2.51268422324232,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2015",1.4847984916333,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2016",1.27728750580586,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2017",1.99495528548496,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2018",1.93345323741007,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2019",1.56594618438464,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2020",0.912052117263818,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2021",2.775984506133,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2022",6.48312755061154,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2023",4.53447127367991,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2024",2.48386755037925,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1993",1.86544949394719,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1994",0.136372491720266,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1995",2.18871595330736,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1996",1.58019990480728,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1997",1.61184518789241,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1998",0.986811767960934,
"CAN","CPIFORECAST","TOT","AGRWTH","A","1999",1.74429223744289,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2000",2.73763575980611,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2001",2.50742617508301,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2002",2.27563283047813,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2003",2.74166666666664,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2004",1.84118744423716,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2005",2.23000955718387,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2006",2.0177625428482,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2007",2.13058419243989,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2008",2.38522506355613,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2009",0.299423062878875,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2010",1.76933158584533,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2011",2.89046290334119,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2012",1.52979625895282,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2013",0.924594205876295,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2014",1.92046688382191,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2015",1.11858312803783,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2016",1.43543820372686,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2017",1.60337552742619,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2018",2.24252491694352,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2019",1.95588327188657,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2020",0.729345427800883,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2021",3.39519318527533,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2022",6.83251114782399,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2023",4.06024752582241,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2024",2.38511829375833,
"CZE","CPIFORECAST","TOT","AGRWTH","A","1994",10.039424222976,
"CZE","CPIFORECAST","TOT","AGRWTH","A","1995",8.99053056374658,
"CZE","CPIFORECAST","TOT","AGRWTH","A","1996",8.75877472878116,
"CZE","CPIFORECAST","TOT","AGRWTH","A","1997",8.59615666715563,
"CZE","CPIFORECAST","TOT","AGRWTH","A","1998",10.6983655274888,
"CZE","CPIFORECAST","TOT","AGRWTH","A","1999",2.13544844417333,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2000",3.77538829151733,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2001",4.66267556988255,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2002",1.90298097019035,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2003",0.118739205526733,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2004",2.7601078167116,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2005",1.85709789109219,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2006",2.53399258343632,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2007",2.85312437211179,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2008",6.35866380152372,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2009",1.01937735329234,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2010",1.47272727272724,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2011",1.9172191363555,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2012",3.28762306610406,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2013",1.43829787234042,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2014",0.343988589646837,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2015",0.309364548495006,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2016",0.683504209385433,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2017",2.45053398460182,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2018",2.1494949494947,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2019",2.84787595918047,
